Florida Institute of Technology;4,519;FL;202;0.20;65%;0.48;27,100;0.48;1.16;B+;4.00;2.40;$276,000;0.47;$827,000;0.65;$8,605;0.47;1.59;$41,850;0.59;0.28;$17,663;0.82;10%;0.80;1.61;Perish
Florida International University;34,686;FL;218;0.16;59%;0.61;49,500;0.68;1.45;A;4.66;2.80;$308,000;0.65;$759,000;0.49;$6,296;0.11;1.24;$12,750;0.03;7.45;$7,246;0.95;12%;0.83;1.78;Survive
Florida State University;34,735;FL;57;0.75;37%;0.81;90,500;0.86;2.41;A+;5.00;3.00;$294,000;0.59;$746,000;0.45;$7,439;0.29;1.33;$12,221;0.02;19.80;$19,616;0.79;0%;0.00;0.79;Thrive
Fordham University;13,736;NY;74;0.66;46%;0.74;135,000;0.92;2.32;B;3.66;2.20;$298,000;0.62;$875,000;0.72;$9,312;0.55;1.88;$52,687;0.83;0.43;$53,085;0.53;9%;0.76;1.29;Survive
Franklin and Marshall College;2,290;PA;38;0.83;35%;0.81;12,100;0.22;1.87;B-;3.33;2.00;$325,000;0.73;$898,000;0.75;$12,603;0.77;2.25;$56,550;0.99;0.31;$168,817;0.22;20%;0.98;1.20;Perish
Franklin College;931;IN;145;0.37;75%;0.27;9,900;0.18;0.82;B;3.66;2.20;$239,000;0.21;$668,000;0.22;$6,295;0.10;0.54;$32,010;0.40;0.09;$94,113;0.35;0%;0.00;0.35;Struggle
Furman University;2,725;SC;46;0.81;61%;0.56;40,500;0.61;1.98;A;4.66;2.80;$265,000;0.38;$763,000;0.50;$10,163;0.62;1.50;$49,532;0.76;0.41;$257,928;0.15;3%;0.44;0.60;Struggle
Gallaudet University;1,341;DC;179;0.25;57%;0.63;27,100;0.48;1.37;B+;4.00;2.40;$175,000;0.04;$477,000;0.01;$26,489;0.96;1.01;$17,038;0.13;0.93;$136,591;0.27;2%;0.31;0.58;Thrive
Gannon University;3,268;PA;218;0.16;81%;0.17;22,200;0.40;0.73;B+;4.00;2.40;$275,000;0.46;$743,000;0.43;$6,834;0.19;1.08;$32,136;0.41;0.17;$19,407;0.80;7%;0.69;1.49;Perish
Gardner-Webb University;1,854;NC;281;0.03;48%;0.72;12,100;0.22;0.96;B-;3.33;2.00;$207,000;0.09;$584,000;0.08;$8,787;0.48;0.65;$32,000;0.40;0.12;$35,559;0.65;3%;0.44;1.09;Perish
George Fox University;3,003;OR;246;0.10;82%;0.14;22,200;0.40;0.64;A-;4.33;2.60;$218,000;0.12;$657,000;0.19;$7,806;0.36;0.67;$36,020;0.46;0.09;$7,872;0.94;1%;0.14;1.07;Perish
George Mason University;25,710;VA;153;0.33;81%;0.17;135,000;0.92;1.41;A-;4.33;2.60;$369,000;0.84;$952,000;0.84;$8,149;0.41;2.09;$24,192;0.29;1.00;$3,304;0.99;2%;0.31;1.30;Survive
George Washington University;19,099;DC;70;0.69;42%;0.76;135,000;0.92;2.37;A;4.66;2.80;$389,000;0.88;$1,066,000;0.91;$14,116;0.84;2.63;$55,230;0.94;0.68;$94,183;0.35;11%;0.82;1.17;Survive
Georgetown College;912;KY;157;0.31;48%;0.72;14,800;0.27;1.30;C+;3.00;1.80;$230,000;0.17;$649,000;0.17;$6,706;0.17;0.50;$38,650;0.51;0.09;$45,729;0.57;1%;0.14;0.71;Struggle
Georgetown University;14,741;DC;24;0.90;15%;0.93;165,000;0.95;2.78;A+;5.00;3.00;$567,000;0.99;$1,477,000;0.99;$16,902;0.89;2.87;$54,104;0.89;1.00;$120,043;0.30;9%;0.76;1.06;Survive
Georgia Institute of Technology-Main Campus;20,864;GA;29;0.87;22%;0.89;110;0.02;1.78;A+;5.00;3.00;$558,000;0.99;$1,328,000;0.98;$9,810;0.59;2.56;$22,722;0.25;2.05;$100,226;0.34;12%;0.83;1.17;Survive
Georgia State University;26,157;GA;211;0.18;71%;0.36;90,500;0.86;1.40;A;4.66;2.80;$267,000;0.40;$689,000;0.27;$5,613;0.06;0.72;$16,542;0.11;0.95;$6,577;0.97;4%;0.54;1.51;Survive
Gettysburg College;2,433;PA;53;0.77;45%;0.74;33,100;0.54;2.05;A-;4.33;2.60;$305,000;0.64;$851,000;0.69;$9,532;0.57;1.90;$54,480;0.90;0.41;$136,137;0.27;3%;0.44;0.71;Struggle
Gonzaga University;5,844;WA;79;0.66;66%;0.48;33,100;0.54;1.67;A;4.66;2.80;$289,000;0.55;$836,000;0.66;$8,570;0.45;1.66;$43,210;0.62;0.46;$49,085;0.56;0%;0.00;0.56;Thrive
Goucher College;1,536;MD;111;0.51;80%;0.18;22,200;0.40;1.09;C+;3.00;1.80;$236,000;0.20;$712,000;0.34;$9,334;0.55;1.09;$44,300;0.65;0.12;$139,923;0.26;2%;0.31;0.57;Struggle
Grand Valley State University;20,653;MI;228;0.14;83%;0.12;49,500;0.68;0.94;A;4.66;2.80;$258,000;0.35;$674,000;0.24;$5,688;0.06;0.64;$15,123;0.09;0.73;$6,188;0.97;1%;0.14;1.11;Survive
Grinnell College;1,679;IA;14;0.94;24%;0.87;40,500;0.61;2.42;A-;4.33;2.60;$261,000;0.36;$739,000;0.42;$14,422;0.85;1.64;$52,392;0.82;0.47;$1,186,185;0.02;17%;0.95;0.97;Survive
Guilford College;1,393;NC;154;0.31;64%;0.50;18,100;0.33;1.14;C+;3.00;1.80;$174,000;0.03;$529,000;0.03;$5,486;0.05;0.11;$37,120;0.48;0.02;$62,262;0.50;1%;0.14;0.64;Struggle
